combo,size,method,weight_tag,fold_year,num_days,mean_return,cumulative_return,sharpe,ic,rank_ic,positive_years
itransformer+patchtst+timemixer+timesnet,4,zscore_mean,equal,-1,2340,0.011964369631388572,-0.9778216369043929,0.6490070096691194,0.0011203995565712268,-0.0314646244829337,6.0
itransformer+timemixer+timesnet,3,weighted_rank,"{""dominant"": ""timesnet"", ""weights"": [0.25, 0.25, 0.5]}",-1,2340,0.011951663478047391,-0.6062087182191119,0.6588236676077757,0.0021161753589225025,-0.027866256774220444,7.0
dlinear+itransformer+timesnet,3,zscore_mean,equal,-1,2340,0.011950942719727431,-0.9066873299091835,0.6441697675325782,0.0038992156450439425,-0.02088466551136431,7.0
patchtst+timemixer+wpmixer,3,weighted_rank,"{""dominant"": ""wpmixer"", ""weights"": [0.25, 0.25, 0.5]}",-1,2340,0.011945892138847385,-0.8792717596794279,0.6743740263463822,-0.0013874254792366988,-0.03341081554551031,9.0
dlinear+itransformer+timemixer+timesnet,4,mean,equal,-1,2340,0.011929943397794273,-0.9529940859471587,0.6529183635800136,0.0017812291478858748,-0.029963774697058132,8.0
timemixer+timesnet,2,mean,equal,-1,2340,0.011915702514178108,-0.9806809564063925,0.6488760467023302,0.0016350969353290062,-0.029420689162073115,8.0
dlinear+timemixer+timesnet+tsmixer,4,mean,equal,-1,2340,0.011913650167841176,-0.9884027475868277,0.6461941993918966,0.0022375900372516577,-0.028624246365914752,7.0
itransformer+patchtst+timemixer+wpmixer,4,weighted_rank,"{""dominant"": ""wpmixer"", ""weights"": [0.2, 0.2, 0.2, 0.4]}",-1,2340,0.01189429253029299,-0.6506696981703595,0.657635268994159,-0.0010255540875059488,-0.033146369153104344,9.0
itransformer+patchtst+wpmixer,3,mean,equal,-1,2340,0.011854837240479034,-0.9725224733635492,0.6441339970074301,0.00016843420585295466,-0.032370516883487986,7.0
dlinear+wpmixer,2,mean,equal,-1,2340,0.011854071756224079,-0.920961177680477,0.6668673788546452,-0.000315807839236362,-0.03181113614015761,9.0
patchtst+tsmixer,2,top1_gap,selector,-1,2340,0.011834238061196484,-0.9354314489759733,0.664802088030249,0.0011838116885044797,-0.02549383739867075,9.0
timemixer+timesnet+wpmixer,3,weighted_rank,"{""dominant"": ""wpmixer"", ""weights"": [0.25, 0.25, 0.5]}",-1,2340,0.011834227145129434,-0.982034360937748,0.6416917543381172,8.28400086859452e-05,-0.031778715138673655,7.0
itransformer+patchtst+timemixer+wpmixer,4,weighted_rank,"{""dominant"": ""itransformer"", ""weights"": [0.4, 0.2, 0.2, 0.2]}",-1,2340,0.011830501828850488,-0.5104835246777532,0.6558472154217109,-0.0006890163266513537,-0.032697630660676755,8.0
