date,n,n_tradable,top1_code,top1_true,top1_pred_gap,best_true_all,best_true_tradable,regret_vs_best_tradable,top3_mean,top5_mean,score_std,score_max_prob,score_entropy,hit_top1_in_true10,hit_top1_in_true20,hit_top1_in_true50,overlap_pred10_true10,overlap_pred10_true20,overlap_pred10_true50,overlap_pred20_true10,overlap_pred20_true20,overlap_pred20_true50,overlap_pred50_true10,overlap_pred50_true20,overlap_pred50_true50
2024-03-25,2822,2820,SH603580,-0.07518162,0.00011468000000003364,0.21518987,0.21518987,0.29037149,-0.057507791,-0.032848320800000004,0.0045456605042537125,0.00036265072349722557,7.9451907894859035,0,0,0,0,1,1,0,1,3,1,2,8
2024-03-26,2819,2818,SZ002089,-0.40963855,0.009483569999999997,0.23243243,0.23243243,0.64207098,-0.16952394333333332,-0.03572300399999999,0.004616362283987669,0.0003649021826313331,7.944126827451677,0,0,0,2,3,3,2,3,4,2,5,10
2024-03-27,2808,2806,SZ002089,0.6938776,0.008596300000000001,0.6938776,0.6938776,0.0,0.27525671566666665,0.1477941874,0.004619791163020842,0.00036785925077271043,7.940217078771942,1,1,1,1,2,4,1,2,4,3,4,6
2024-03-28,2800,2798,SZ002089,-0.40963855,0.021621699999999966,0.18535826,0.18535826,0.59499681,-0.16767761666666667,-0.163593636,0.004766865480387785,0.0003722395441138519,7.937363316441236,0,0,0,0,0,0,0,0,2,1,1,6
2024-03-29,2798,2798,SZ002089,-0.3469388,0.010669150000000016,0.2520661,0.2520661,0.5990049,-0.13721281233333332,-0.11175029239999998,0.004688171148421821,0.0003693088736440015,7.936649153319543,0,0,0,0,1,1,0,1,1,0,4,8
2024-04-01,2805,2804,SZ002089,0.53125,0.014110029999999996,0.53125,0.53125,0.0,0.14053984166666666,0.08507766879999999,0.004431991119667088,0.0003680208849799799,7.939148988996787,1,1,1,2,2,2,3,4,6,4,6,11
2024-04-02,2810,2809,SZ002089,0.0,0.020530640000000044,0.20038168,0.20038168,0.20038168,0.09306679666666667,0.019202086,0.00454110608795394,0.0003701187706610348,7.940929432907245,0,0,0,2,3,3,3,4,4,6,7,8
2024-04-03,2809,2808,SZ002089,0.3469388,0.011822699999999964,0.40561622,0.40561622,0.058677420000000036,0.060716518,0.026960566399999997,0.004450852743224536,0.00036750884467390797,7.940573904275194,1,1,1,1,1,1,1,2,3,1,2,4
2024-04-08,2814,2814,SZ002089,0.0,0.01575559999999998,0.17650513,0.17650513,0.17650513,0.03727759666666667,0.004412532999999999,0.004406783198359543,0.000369410630071983,7.9423525061946,0,0,0,1,2,2,1,2,4,1,2,7
2024-04-09,2817,2817,SZ002089,0.5151515,0.018225430000000098,0.5151515,0.5151515,0.0,0.11331366433333334,0.0853501046,0.004530983581864159,0.0003687693830301626,7.943417481022863,1,1,1,2,2,2,3,4,5,3,4,8
2024-04-10,2817,2817,SZ000889,-0.021186441,0.000648760000000026,0.1908506,0.1908506,0.212037041,-0.020665975333333333,-0.0488819192,0.004334827247228499,0.00036222123347437875,7.943418359253503,0,0,0,0,0,2,0,0,4,1,3,9
2024-04-11,2814,2814,SH600198,-0.1502146,0.004007800000000006,0.21860096,0.21860096,0.36881556000000004,-0.13513049666666666,-0.15371928399999998,0.0043479626209674245,0.0003632640253167264,7.94235277336645,0,0,0,0,0,0,1,1,2,3,6,9
2024-04-12,2815,2815,SH600198,-0.08080808,0.001097899999999985,0.17230347,0.17230347,0.25311154999999996,-0.19188835666666662,-0.1545858628,0.004440013732285681,0.00036231822415725426,7.942707670867175,0,0,0,1,1,1,1,1,1,1,1,2
2024-04-15,2822,2822,SH600076,-0.22169812,7.909999999999862e-05,0.17465957,0.17465957,0.39635769,-0.25183765,-0.236066156,0.00407689260828187,0.00036188338071332243,7.945192813372,0,0,0,0,0,0,1,1,2,3,6,7
2024-04-16,2826,2826,SH600198,0.42105263,0.007145999999999986,0.42105263,0.42105263,0.0,0.28579125666666666,0.22123335000000002,0.004419701038834158,0.00036844808749638303,7.946607774881782,1,1,1,3,4,5,3,4,6,4,5,8
2024-04-17,2824,2824,SH600198,-0.018518519,0.0008866499999999888,0.19197877,0.19197877,0.210497289,-0.28094890633333336,-0.18237083700000004,0.005241279074347378,0.0003648512768029736,7.945895846884833,0,0,0,0,0,0,0,0,0,2,2,2
2024-04-18,2822,2822,SZ000889,0.6666667,0.007485090000000083,0.6666667,0.6666667,0.0,0.10398268533333331,0.023403951999999985,0.0049017303511453576,0.0003659073027703213,7.945189099906302,1,1,1,1,1,1,3,3,3,3,4,6
2024-04-19,2821,2819,SH600076,-0.02259887,0.0016818499999999847,0.8214286,0.8214286,0.84402747,0.021629960000000004,0.15048921199999998,0.004896584754317414,0.00037142172534360406,7.944834699236993,0,0,0,2,2,2,2,2,2,3,3,3
2024-04-22,2817,2815,SH600076,0.06936416,0.0026654999999999873,0.24670433,0.24670433,0.17734017000000002,0.023121386666666664,0.030950691399999997,0.00468481212356209,0.00036450421478665903,7.9434167825353725,0,0,1,1,2,3,1,2,4,3,5,8
