strategy,combo,size,variant_kind,variant_method,scenario,num_days,gross_mean_return,gross_cumulative_return,gross_sharpe,mean_return,cumulative_return,sharpe,switch_count,same_code_streak_days,avg_entry_cost_bps,avg_exit_cost_bps
itransformer+patchtst+timesnet+dlinear_a01::combo::zscore_mean,itransformer+patchtst+timesnet+dlinear_a01,4,combo,zscore_mean,base,2340,0.01113266793002564,-0.9893288587727089,0.6090925730793235,0.00973739068178854,-0.9995838282066838,0.5333476953203856,1543,796,5.2786324786324785,8.577777777777778
wpmixer+timemixer::gated::gated_q50_left,wpmixer+timemixer,2,gated,gated_q50_left,base,2340,0.010297244641840451,-0.9979918650775047,0.5794311105455219,0.009681962876514917,-0.9995238832834943,0.5449755788419559,684,1655,2.341880341880342,3.8055555555555554
itransformer+patchtst+wpmixer+dlinear_a01::combo::zscore_mean,itransformer+patchtst+wpmixer+dlinear_a01,4,combo,zscore_mean,base,2340,0.011076671175089745,-0.9959417819027004,0.6043022375523291,0.009668145844265636,-0.9998459951721311,0.5280539452520663,1556,783,5.323076923076923,8.65
itransformer+wpmixer+timemixer+dlinear_a01::combo::mean,itransformer+wpmixer+timemixer+dlinear_a01,4,combo,mean,base,2340,0.010588394258034189,-0.9912381926491208,0.5857469638728353,0.009647617864274807,-0.9990126287513341,0.5342850134231472,1038,1301,3.552136752136752,5.772222222222222
itransformer+timemixer+timesnet::combo::rank_mean,itransformer+timemixer+timesnet,3,combo,rank_mean,base,2340,0.010471384588013668,-0.9796547249717532,0.5801692373258264,0.009641463524352554,-0.9970311320109569,0.5346652313256579,915,1424,3.1316239316239316,5.088888888888889
itransformer+patchtst+dlinear_a01::combo::zscore_mean,itransformer+patchtst+dlinear_a01,3,combo,zscore_mean,base,2340,0.01124027662852564,-0.8749592186791254,0.619115164390536,0.009639429795020813,-0.9969669270366732,0.5315445508028901,1769,570,6.051282051282051,9.833333333333334
"itransformer+patchtst+wpmixer::weighted_rank::{""dominant"": ""wpmixer"", ""weights"": [0.25, 0.25, 0.5]}",itransformer+patchtst+wpmixer,3,weighted_rank,"{""dominant"": ""wpmixer"", ""weights"": [0.25, 0.25, 0.5]}",base,2340,0.010256878656188361,0.18481094845199797,0.6505132052211723,0.009629198677130111,-0.7260828006104527,0.6107586153172618,696,1643,2.382905982905983,3.8722222222222222
"itransformer+patchtst+timemixer+timesnet::weighted_rank::{""dominant"": ""patchtst"", ""weights"": [0.2, 0.4, 0.2, 0.2]}",itransformer+patchtst+timemixer+timesnet,4,weighted_rank,"{""dominant"": ""patchtst"", ""weights"": [0.2, 0.4, 0.2, 0.2]}",base,2340,0.010376391023332134,-0.987620591585085,0.5746376667497652,0.009627449115249244,-0.9978220800321909,0.5336259902257138,826,1513,2.8273504273504275,4.594444444444444
wpmixer+timesnet+dlinear_a01::combo::zscore_mean,wpmixer+timesnet+dlinear_a01,3,combo,zscore_mean,base,2340,0.011184223152337608,-0.979424986091806,0.6136369785368764,0.00960832853862103,-0.9994673283490819,0.5280428760696197,1738,601,5.9452991452991455,9.661111111111111
"patchtst+timemixer+timesnet::weighted_rank::{""dominant"": ""timemixer"", ""weights"": [0.25, 0.5, 0.25]}",patchtst+timemixer+timesnet,3,weighted_rank,"{""dominant"": ""timemixer"", ""weights"": [0.25, 0.5, 0.25]}",base,2340,0.010329452421373328,-0.9988378179063547,0.5639508272605155,0.009589566704731082,-0.9997907555355632,0.5240177474043559,815,1524,2.7897435897435896,4.533333333333333
