date,code,pred,true,selected_source,gated_active_selector,confidence_edge
2016-01-13,SZ300222,0.14992772,0.027688641,right,False,0.002748560000000011
2016-01-14,SZ300222,0.15239444,0.053260773,right,False,-0.004929329999999982
2016-01-15,SZ000520,0.22685044,0.021292891,left,True,0.05701492999999999
2016-01-18,SZ300222,0.15358618,0.02084363,right,False,0.016969540000000005
2016-01-19,SH600734,0.17904824,-0.07485604,left,True,0.019987250000000012
2016-01-20,SH600734,0.1859438,0.099744655,left,True,0.024627609999999994
2016-01-21,SZ000529,0.15751073,0.020653084,right,False,0.011127739999999997
2016-01-22,SH600898,0.15787749,0.06595995,right,False,0.005435389999999984
2016-01-25,SH600898,0.15950447,0.02961326,right,False,-0.0020817800000000053
2016-01-26,SH600898,0.16325274,-0.12255849,right,False,-0.0015652700000000075
2016-01-27,SH600898,0.16887982,0.06090998,right,False,-0.008183810000000014
2016-01-28,SZ000529,0.16458963,-0.039945375,right,False,-0.0049267899999999865
2016-01-29,SZ000529,0.16490422,0.03200569,right,False,0.00893737
2016-02-01,SH600898,0.17174909,-0.011528706,right,False,0.002212530000000018
2016-02-02,SH600898,0.17634887,0.045019828,right,False,-0.004137189999999985
2016-02-03,SH600898,0.17484984,-0.11004464,right,False,0.0056384499999999615
2016-02-04,SH600898,0.17348643,-0.006772009,right,False,0.0063730700000000085
2016-02-05,SH600898,0.17739773,0.028535353,right,False,-0.01201134000000001
2016-02-15,SH600898,0.17831515,0.064326055,right,False,0.0014677300000000004
2016-02-16,SH600898,0.17661418,0.019838523,right,False,-0.008593939999999994
2016-02-17,SH600898,0.17987767,0.047048178,right,False,-0.012426710000000007
2016-02-18,SH600898,0.1823083,0.009073234,right,False,-0.006138919999999992
2016-02-19,SH600898,0.1756577,0.06743738,right,False,0.0004897100000000043
2016-02-22,SH600898,0.17215106,-0.01143201,right,False,0.01599839
2016-02-23,SH600734,0.17070208,-0.095010124,right,False,0.015289520000000001
2016-02-24,SH600734,0.17381595,-0.09298067,right,False,0.0017905200000000177
2016-02-25,SH600898,0.16796176,-0.092249274,right,False,0.0063253799999999916
2016-02-26,SH600898,0.17364953,0.029281495,right,False,-0.0042416599999999804
2016-02-29,SH600898,0.17343794,0.062634476,right,False,0.005158119999999988
2016-03-01,SH600609,0.20366731,0.04529272,left,True,0.02271323
2016-03-02,SH600609,0.20632559,0.005487228,left,True,0.02151838000000003
2016-03-03,SH600609,0.20126967,0.048362814,left,True,0.018244310000000014
2016-03-04,SH600609,0.19916531,-0.046131752,left,True,0.02471856
2016-03-07,SH600609,0.19620365,-0.02691005,left,True,0.02096829000000003
2016-03-08,SH600609,0.19899876,-0.038677238,left,True,0.021437680000000015
2016-03-09,SH600609,0.19183046,0.022933012,left,True,0.020724360000000025
2016-03-10,SH600609,0.18092619,0.061946902,left,True,0.021205319999999972
2016-03-11,SZ000058,0.16649655,-0.0135224275,right,False,0.016268100000000008
2016-03-14,SH600609,0.18195556,-0.048628192,left,True,0.021320719999999987
2016-03-15,SZ000058,0.16669627,0.14341918,right,False,0.008734409999999998
2016-03-16,SZ000626,0.16301908,0.059560254,right,False,-0.001938200000000001
2016-03-17,SZ000626,0.16246048,0.018237082,right,False,0.0005332799999999971
2016-03-18,SH600734,0.16277587,-0.01373042,right,False,0.010703590000000013
2016-03-21,SH600734,0.16899069,-0.017254902,right,False,0.004494660000000011
2016-03-22,SH600734,0.16671814,0.020949721,right,False,-0.006169439999999998
2016-03-23,SH600734,0.16821662,0.015438734,right,False,-0.003250229999999993
2016-03-24,SH600734,0.1655216,-0.034642033,right,False,-0.0061608100000000166
2016-03-25,SH600734,0.16029568,-0.039274324,right,False,0.01050891000000001
2016-03-28,SH600734,0.15496238,0.0730442,right,False,0.0034078000000000164
2016-03-29,SH600734,0.1537938,-0.01779153,right,False,-0.007491809999999988
2016-03-30,SH600734,0.14970283,-0.002559559,right,False,0.004786060000000009
2016-03-31,SH600734,0.14412802,0.038097117,right,False,0.011365360000000019
2016-04-01,SH600734,0.13898379,-0.006274957,right,False,0.016494919999999996
2016-04-05,SH600609,0.1770786,-1.21819395e-11,left,True,0.023103170000000006
2016-04-06,SZ000058,0.1364067,0.00525185,right,False,0.017309679999999994
2016-04-07,SZ000058,0.14143892,0.033008788,right,False,0.011305510000000019
2016-04-08,SH600609,0.1605394,0.020349875,left,True,0.02752915999999997
2016-04-11,SH600609,0.15285072,-0.0066480055,left,True,0.02819769500000001
2016-04-12,SH600609,0.13759898,-0.020194905,right,False,0.017099599999999993
2016-04-13,SH600609,0.13259564,0.0069502695,right,False,0.010486610000000007
2016-04-14,SH600609,0.13453439,0.017017731,right,False,0.0022634400000000054
2016-04-15,SH600609,0.13885884,-0.013456588,right,False,0.0016292599999999935
2016-04-18,SH600609,0.14246188,-0.15265094,right,False,-0.005649029999999999
2016-04-19,SH600609,0.14352404,0.007978723,right,False,0.0034921199999999875
2016-04-20,SH600609,0.15562074,0.019858353,right,False,-0.009354260000000031
2016-04-21,SH600609,0.15155533,-0.015522877,right,False,-0.016144909999999985
2016-04-22,SH600609,0.15052229,0.023789765,right,False,-0.012444690000000008
2016-04-25,SH600609,0.14571422,-1.21819395e-11,right,False,-0.008894220000000008
2016-04-26,SH600609,0.14433104,0.19319104,right,False,-0.006794929999999991
2016-04-27,SH600609,0.14811014,-0.016191123,right,False,-0.005247506000000013
2016-04-28,SH600609,0.1588509,0.036137644,right,True,-0.0318644
2016-04-29,SH600609,0.16278742,-0.018993668,right,False,-0.011874423999999967
