strategy,combo,size,variant_kind,variant_method,scenario,num_days,gross_mean_return,gross_cumulative_return,gross_sharpe,mean_return,cumulative_return,sharpe,switch_count,same_code_streak_days,avg_entry_cost_bps,avg_exit_cost_bps
wpmixer+dlinear_a01::gated::gated_q50_right,wpmixer+dlinear_a01,2,gated,gated_q50_right,base,2340,0.008882272219333333,-0.9550062080830337,0.5624848283147733,0.007407797554264339,-0.9985291706410783,0.47002043197351656,1627,712,5.565811965811966,9.044444444444444
wpmixer+dlinear_a01::combo::mean,wpmixer+dlinear_a01,2,combo,mean,base,2340,0.00885831522459829,-0.9962192571398782,0.5516766231402941,0.0078064852346960405,-0.9996723589396057,0.4867562114119363,1163,1176,3.9794871794871796,6.466666666666667
timemixer+dlinear_a01::combo::mean,timemixer+dlinear_a01,2,combo,mean,base,2340,0.008732641133311965,-0.9999097532644393,0.4813098024861732,0.007738126494683762,-0.9999910158019396,0.42718128905765756,1097,1242,3.753846153846154,6.1
timemixer+dlinear_a01::gated::gated_q50_left,timemixer+dlinear_a01,2,gated,gated_q50_left,base,2340,0.008581974718367521,-0.9998046965382235,0.4765799996763628,0.007684650018304704,-0.9999758086373356,0.42720666623753606,993,1346,3.398290598290598,5.522222222222222
timesnet+dlinear_a01::combo::zscore_mean,timesnet+dlinear_a01,2,combo,zscore_mean,base,2340,0.008451328570786325,4.4926901152368375,0.7444891108993886,0.006682304633926968,-0.9106207773988568,0.5892129730760161,1959,380,6.700854700854701,10.88888888888889
patchtst+dlinear_a01::gated::gated_q50_left,patchtst+dlinear_a01,2,gated,gated_q50_left,base,2340,0.00830937470784188,-0.9980311745819077,0.5192473917598441,0.007470135403955344,-0.999718674381683,0.4676344329298927,925,1414,3.1658119658119657,5.144444444444445
wpmixer+dlinear_a01::combo::zscore_mean,wpmixer+dlinear_a01,2,combo,zscore_mean,base,2340,0.008140466038743589,-0.8322931266607672,0.524486368019434,0.006348618266043892,-0.997383312606039,0.4098688827580047,1979,360,6.769230769230769,11.0
patchtst+dlinear_a01::selector::top1_gap,patchtst+dlinear_a01,2,selector,top1_gap,base,2340,0.00806802931494017,-0.9990037036271806,0.5043795984064456,0.007123597875531035,-0.9998886666628365,0.4461316318626939,1042,1297,3.565811965811966,5.794444444444444
patchtst+dlinear_a01::combo::mean,patchtst+dlinear_a01,2,combo,mean,base,2340,0.007913350706666667,-0.9994367115320447,0.49354178880190236,0.006973501795751047,-0.999937054086882,0.4354096088413257,1042,1297,3.565811965811966,5.794444444444444
patchtst+dlinear_a01::combo::zscore_mean,patchtst+dlinear_a01,2,combo,zscore_mean,base,2340,0.007850726659782049,-0.9844107705528978,0.5026914314439171,0.006089106945500071,-0.9997398484478474,0.3906741037265352,1947,392,6.65982905982906,10.822222222222223
"wpmixer+timesnet::weighted_rank::{""dominant"": ""timesnet"", ""weights"": [0.4, 0.6]}",wpmixer+timesnet,2,weighted_rank,"{""dominant"": ""timesnet"", ""weights"": [0.4, 0.6]}",base,2340,0.007209398645711511,-0.9984995956754693,0.5931805892556172,0.006306618457120772,-0.9998168651382768,0.5191085001719965,1000,1339,3.422222222222222,5.561111111111111
